Sin,depth,Project,FundingSource,projectCode,invest,CollectMethod,matrix,SubMatrix,species,DateCollected,Year,location,sampler,agency,LAT,LONG,SampleType,QCERROR,comment
1000,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,26-Mar-89,1989,ROCKB,KARINEN,NMFS ABL,60.337,-147.124,ENV,GOOD,
1001,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,26-Mar-89,1989,ROCKB,KARINEN,NMFS ABL,60.337,-147.124,ENV,GOOD,
1002,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,26-Mar-89,1989,ROCKB,KARINEN,NMFS ABL,60.337,-147.124,ENV,GOOD,
1003,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,26-Mar-89,1989,ROCKB,KARINEN,NMFS ABL,60.337,-147.124,ENV,GOOD,
1004,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,26-Mar-89,1989,ROCKB,KARINEN,NMFS ABL,60.337,-147.124,ENV,GOOD,
1005,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,26-Mar-89,1989,ROCKB,KARINEN,NMFS ABL,60.337,-147.124,ENV,GOOD,
1006,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,26-Mar-89,1989,CONST,KARINEN,NMFS ABL,60.349,-146.761,ENV,GOOD,
1007,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,26-Mar-89,1989,CONST,KARINEN,NMFS ABL,60.349,-146.761,ENV,GOOD,
1008,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,26-Mar-89,1989,CONST,KARINEN,NMFS ABL,60.349,-146.761,ENV,GOOD,
1012,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,29-Mar-89,1989,SIWAB,KARINEN,NMFS ABL,60.954,-147.681,ENV,GOOD,
1013,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,29-Mar-89,1989,SIWAB,KARINEN,NMFS ABL,60.954,-147.681,ENV,GOOD,
1014,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,29-Mar-89,1989,SIWAB,KARINEN,NMFS ABL,60.954,-147.681,ENV,GOOD,
1015,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,29-Mar-89,1989,SIWAB,KARINEN,NMFS ABL,60.954,-147.681,ENV,GOOD,
1016,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,29-Mar-89,1989,SIWAB,KARINEN,NMFS ABL,60.954,-147.681,ENV,GOOD,
1017,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,29-Mar-89,1989,SIWAB,KARINEN,NMFS ABL,60.954,-147.681,ENV,GOOD,
1024,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,28-Mar-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1025,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,28-Mar-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1026,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,28-Mar-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1027,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,28-Mar-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1028,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,28-Mar-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1029,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,28-Mar-89,1989,NAKEI,KARINEN,NMFS ABL,60.652,-147.437,ENV,GOOD,
1030,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,28-Mar-89,1989,BLIGI,KARINEN,NMFS ABL,60.867,-146.754,ENV,GOOD,
1031,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,28-Mar-89,1989,BLIGI,KARINEN,NMFS ABL,60.867,-146.754,ENV,GOOD,
1032,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,28-Mar-89,1989,BLIGI,KARINEN,NMFS ABL,60.867,-146.754,ENV,GOOD,
1033,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,28-Mar-89,1989,BLIGI,KARINEN,NMFS ABL,60.867,-146.754,ENV,GOOD,
1034,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,28-Mar-89,1989,BLIGI,KARINEN,NMFS ABL,60.867,-146.754,ENV,GOOD,
1036,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,30-Mar-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1037,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,30-Mar-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1038,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,30-Mar-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1039,0,COAHAB1,EVOSTC,CH1,S1,COCU,SEDIMENT,,,30-Mar-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1040,0,COAHAB1,EVOSTC,CH1,S2,COCU,SEDIMENT,,,30-Mar-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1041,0,COAHAB1,EVOSTC,CH1,S3,COCU,SEDIMENT,,,30-Mar-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1065,-2,COAHAB1,EVOSTC,CH1,M1 SITE 1,HAND,TISSUE,WHOLE,MUSS,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1066,-2,COAHAB1,EVOSTC,CH1,M2 SITE 1,HAND,TISSUE,WHOLE,MUSS,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
