"countrynum","statenum","Route","RPID","Year","Aou","SpeciesTotal"
840,14,110,101,1971,3690,2
840,14,110,101,1974,3690,1
840,14,199,101,1974,3690,1
840,14,17,101,1975,3690,2
840,14,110,101,1976,3690,1
840,14,117,101,1978,3690,1
840,69,10,101,1978,3690,1
840,14,117,101,1980,3690,1
840,14,57,101,1981,3690,1
840,14,113,101,1981,3690,2
840,14,54,101,1982,3690,1
840,14,110,101,1983,3690,1
840,14,110,101,1985,3690,1
840,14,202,101,1986,3690,2
840,14,77,101,1987,3690,1
840,14,185,101,1987,3690,1
840,14,95,101,1989,3690,1
840,14,202,101,1991,3690,1
840,14,71,101,1992,3690,1
840,14,104,101,1992,3690,1
840,6,32,101,1993,3690,1
840,69,210,101,1993,3690,1
840,89,61,101,1994,3690,1
840,89,43,101,1995,3690,1
840,14,202,101,1996,3690,1
840,14,5,101,1997,3690,1
840,14,110,101,1997,3690,1
840,14,902,101,1997,3690,2
840,14,419,101,1999,3690,1
840,69,226,101,1999,3690,1
840,6,79,101,2000,3690,1
840,6,79,101,2001,3690,1
840,14,117,101,2001,3690,1
840,89,43,101,2001,3690,1
840,14,117,101,2002,3690,1
840,69,227,101,2002,3690,1
840,89,61,101,2002,3690,2
840,89,43,101,2003,3690,1
840,6,79,101,2004,3690,1
840,6,79,101,2006,3690,3
840,6,79,101,2007,3690,1
840,6,79,101,2008,3690,1
840,14,117,101,2009,3690,1
840,14,221,101,2014,3690,1
