"Sin","depth","Project","FundingSource","projectCode","invest","CollectMethod","matrix","SubMatrix","species","DateCollected","Year","location","sampler","agency","LAT","LONG","SampleType","QCERROR","comment"
1003,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","26-Mar-89",1989,"ROCKB","KARINEN","NMFS ABL",60.337,-147.124,"ENV","GOOD",NA
1004,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","26-Mar-89",1989,"ROCKB","KARINEN","NMFS ABL",60.337,-147.124,"ENV","GOOD",NA
1005,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","26-Mar-89",1989,"ROCKB","KARINEN","NMFS ABL",60.337,-147.124,"ENV","GOOD",NA
1015,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","29-Mar-89",1989,"SIWAB","KARINEN","NMFS ABL",60.954,-147.681,"ENV","GOOD",NA
1016,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","29-Mar-89",1989,"SIWAB","KARINEN","NMFS ABL",60.954,-147.681,"ENV","GOOD",NA
1017,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","29-Mar-89",1989,"SIWAB","KARINEN","NMFS ABL",60.954,-147.681,"ENV","GOOD",NA
1024,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","28-Mar-89",1989,"NAKEI","KARINEN","NMFS ABL",60.652,-147.437,"ENV","GOOD",NA
1027,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","28-Mar-89",1989,"NAKEI","KARINEN","NMFS ABL",60.652,-147.437,"ENV","GOOD",NA
1028,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","28-Mar-89",1989,"NAKEI","KARINEN","NMFS ABL",60.652,-147.437,"ENV","GOOD",NA
1031,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","28-Mar-89",1989,"BLIGI","KARINEN","NMFS ABL",60.867,-146.754,"ENV","GOOD",NA
1032,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","28-Mar-89",1989,"BLIGI","KARINEN","NMFS ABL",60.867,-146.754,"ENV","GOOD",NA
1034,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","28-Mar-89",1989,"BLIGI","KARINEN","NMFS ABL",60.867,-146.754,"ENV","GOOD",NA
1036,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","30-Mar-89",1989,"BOISL","KARINEN","NMFS ABL",60.363,-147.692,"ENV","GOOD",NA
1037,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","30-Mar-89",1989,"BOISL","KARINEN","NMFS ABL",60.363,-147.692,"ENV","GOOD",NA
1038,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","30-Mar-89",1989,"BOISL","KARINEN","NMFS ABL",60.363,-147.692,"ENV","GOOD",NA
1065,-2,"COAHAB1","EVOSTC","CH1","M1 SITE 1","HAND","TISSUE","WHOLE","MUSS","31-Mar-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1066,-2,"COAHAB1","EVOSTC","CH1","M2 SITE 1","HAND","TISSUE","WHOLE","MUSS","31-Mar-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1067,-2,"COAHAB1","EVOSTC","CH1","M3 SITE 1","HAND","TISSUE","WHOLE","MUSS","31-Mar-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1071,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","01-Apr-89",1989,"CRABB","KARINEN","NMFS ABL",60.072,-147.997,"ENV","GOOD",NA
1072,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","01-Apr-89",1989,"CRABB","KARINEN","NMFS ABL",60.072,-147.997,"ENV","GOOD",NA
1073,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","01-Apr-89",1989,"CRABB","KARINEN","NMFS ABL",60.072,-147.997,"ENV","GOOD",NA
1077,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","03-Apr-89",1989,"GREEI","KARINEN","NMFS ABL",60.295,-147.375,"ENV","GOOD",NA
1078,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","03-Apr-89",1989,"GREEI","KARINEN","NMFS ABL",60.295,-147.375,"ENV","GOOD",NA
1079,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","03-Apr-89",1989,"GREEI","KARINEN","NMFS ABL",60.295,-147.375,"ENV","GOOD",NA
1094,-2,"COAHAB1","EVOSTC","CH1","M01 SITE 1","HAND","TISSUE","WHOLE","MUSS","07-Apr-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1095,-2,"COAHAB1","EVOSTC","CH1","M02 SITE 1","HAND","TISSUE","WHOLE","MUSS","07-Apr-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1096,-2,"COAHAB1","EVOSTC","CH1","M03 SITE 1","HAND","TISSUE","WHOLE","MUSS","07-Apr-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1100,-2,"COAHAB1","EVOSTC","CH1","M11 SITE 2","HAND","TISSUE","WHOLE","MUSS","07-Apr-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1101,-2,"COAHAB1","EVOSTC","CH1","M12 SITE 2","HAND","TISSUE","WHOLE","MUSS","07-Apr-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1102,-2,"COAHAB1","EVOSTC","CH1","M13 SITE 2","HAND","TISSUE","WHOLE","MUSS","07-Apr-89",1989,"BARNC","KARINEN","NMFS ABL",60.309,-147.762,"ENV","GOOD",NA
1104,-2,"COAHAB1","EVOSTC","CH1","M1","HAND","TISSUE","WHOLE","MUSS","06-Apr-89",1989,"OLSEN","KARINEN","NMFS ABL",60.739,-146.198,"ENV","GOOD",NA
1105,-2,"COAHAB1","EVOSTC","CH1","M2","HAND","TISSUE","WHOLE","MUSS","06-Apr-89",1989,"OLSEN","KARINEN","NMFS ABL",60.739,-146.198,"ENV","GOOD",NA
1106,-2,"COAHAB1","EVOSTC","CH1","M3","HAND","TISSUE","WHOLE","MUSS","06-Apr-89",1989,"OLSEN","KARINEN","NMFS ABL",60.739,-146.198,"ENV","GOOD",NA
1114,-2,"COAHAB1","EVOSTC","CH1","M01","HAND","TISSUE","WHOLE","MUSS","08-Apr-89",1989,"NAKEI","KARINEN","NMFS ABL",60.652,-147.437,"ENV","GOOD",NA
1115,-2,"COAHAB1","EVOSTC","CH1","M02","HAND","TISSUE","WHOLE","MUSS","08-Apr-89",1989,"NAKEI","KARINEN","NMFS ABL",60.652,-147.437,"ENV","GOOD",NA
1116,-2,"COAHAB1","EVOSTC","CH1","M03","HAND","TISSUE","WHOLE","MUSS","08-Apr-89",1989,"NAKEI","KARINEN","NMFS ABL",60.652,-147.437,"ENV","GOOD",NA
1119,-2,"COAHAB1","EVOSTC","CH1","M01","HAND","TISSUE","WHOLE","MUSS","08-Apr-89",1989,"BOISL","KARINEN","NMFS ABL",60.363,-147.692,"ENV","GOOD",NA
1120,-2,"COAHAB1","EVOSTC","CH1","M02","HAND","TISSUE","WHOLE","MUSS","08-Apr-89",1989,"BOISL","KARINEN","NMFS ABL",60.363,-147.692,"ENV","GOOD",NA
1121,-2,"COAHAB1","EVOSTC","CH1","M03","HAND","TISSUE","WHOLE","MUSS","08-Apr-89",1989,"BOISL","KARINEN","NMFS ABL",60.363,-147.692,"ENV","GOOD",NA
